motor_control,world_x,world_y,world_z,world_p,world_q,world_r,x_img,y_img,x_screen,y_screen
"0:120.0,1:10.0,2:170.0,3:150.0,4:10.0,5:10.0",0.2169770492833436,0.1032077184045952,0.12054430031793649,0.7126509766610204,-0.8480507724966164,0.8560031489795129,235,284,-0.265625,-0.18333333333333335
"0:120.0,1:30.0,2:90.0,3:120.0,4:10.0,5:10.0",0.18267676283747386,0.08342854473705659,0.001494280682750107,-0.2818305364932293,0.44938388403259866,0.5878912872436213,262,304,-0.18125000000000002,-0.2666666666666666
"0:120.0,1:30.0,2:90.0,3:150.0,4:10.0,5:10.0",0.17958682809339166,0.0816467416602475,0.019076456279304155,-0.0008512431121099165,0.0014761919954896809,0.5230721499674257,261,305,-0.18437499999999996,-0.27083333333333326
"0:120.0,1:30.0,2:90.0,3:170.0,4:10.0,5:10.0",0.17339303332243172,0.07807510552743036,0.028752194928422597,0.17882229868862642,-0.2991970601539861,0.550094851111824,263,310,-0.17812499999999998,-0.29166666666666674
"0:120.0,1:30.0,2:120.0,3:60.0,4:10.0,5:10.0",0.2174179622494911,0.10346196975447397,0.03018248402156104,-0.7151866989364888,0.8495024576570396,0.8579061395834959,245,279,-0.234375,-0.1625000000000001
"0:120.0,1:30.0,2:120.0,3:90.0,4:10.0,5:10.0",0.2223573973111021,0.1063102825246112,0.047192619554928775,-0.28183053649322926,0.4493838840325985,0.587891287243621,241,276,-0.24687499999999996,-0.1499999999999999
"0:120.0,1:30.0,2:120.0,3:120.0,4:10.0,5:10.0",0.21926746256487228,0.10452847944656389,0.06477479515646205,-0.0008512430319421488,0.0014761918564668336,0.523072149967307,240,279,-0.25,-0.1625000000000001
"0:120.0,1:30.0,2:120.0,3:150.0,4:10.0,5:10.0",0.20897605854578283,0.09859396727571554,0.07821815731944762,0.27973489976286603,-0.4465471187577197,0.5869835973139684,243,288,-0.24062499999999998,-0.19999999999999996
"0:120.0,1:30.0,2:120.0,3:170.0,4:10.0,5:10.0",0.19942114665560925,0.09308415143344308,0.08302286177355594,0.5352859165739049,-0.7242264116367553,0.7300892783669785,247,295,-0.22812500000000002,-0.22916666666666674
"0:120.0,1:30.0,2:150.0,3:30.0,4:10.0,5:10.0",0.2319864594437536,0.11186285691718229,0.09265593677617992,-0.7153796821463039,0.849612613077243,0.8580510677189743,231,271,-0.27812499999999996,-0.12916666666666665
"0:120.0,1:30.0,2:150.0,3:60.0,4:10.0,5:10.0",0.23692868820027885,0.1147127806644454,0.10967093286080194,-0.2818306377787686,0.4493840209096925,0.5878913312431467,227,268,-0.290625,-0.1166666666666667
"0:120.0,1:30.0,2:150.0,3:90.0,4:10.0,5:10.0",0.23383875376043547,0.112930977763075,0.12725311414772075,-0.0008512431121096518,0.0014761919954899808,0.5230721499674253,226,271,-0.29374999999999996,-0.12916666666666665
"0:120.0,1:30.0,2:150.0,3:120.0,4:10.0,5:10.0",0.22354734973919843,0.10699646559098831,0.14069647631568558,0.2797348997628659,-0.44654711875771985,0.5869835973139683,229,280,-0.28437500000000004,-0.16666666666666674
"0:120.0,1:30.0,2:150.0,3:150.0,4:10.0,5:10.0",0.2088118909229818,0.0984993004300791,0.14639909460372585,0.7112922426196703,-0.8472696184813704,0.8549844595644215,235,293,-0.265625,-0.22083333333333344
"0:120.0,1:30.0,2:170.0,3:10.0,4:10.0,5:10.0",0.225526597582486,0.10813779386780376,0.13543053534035776,-0.7140161204936951,0.8488332997735477,0.8570273500134831,229,278,-0.28437500000000004,-0.15833333333333344
"0:120.0,1:30.0,2:170.0,3:30.0,4:10.0,5:10.0",0.22967028677292203,0.11052724178834208,0.14642523240649294,-0.3983856970140215,0.5921920267942995,0.6460825555244194,225,275,-0.296875,-0.14583333333333326
"0:120.0,1:30.0,2:170.0,3:60.0,4:10.0,5:10.0",0.22927593571806668,0.11029984024718141,0.1643654263293957,-0.08881222624683081,0.15261633286613022,0.5298662453652176,223,277,-0.303125,-0.15416666666666656
"0:120.0,1:30.0,2:170.0,3:90.0,4:10.0,5:10.0",0.22116535579417743,0.10562289479040189,0.1796690301441988,0.17882229868862645,-0.2991970601539863,0.5500948511118244,225,285,-0.296875,-0.1875
